ID,First_Name,Last_Name,Division,Status,Hometown,Fighting_Style,Trains_At,Octagon_Debut
2,Daichi,Abe,Welterweight Division,Not Fighting,"Niigata Prefecture, Japan",,,"Sep. 22, 2017"
3,Papy,Abedi,Middleweight Division,Not Fighting,,,,"Nov. 05, 2011"
4,Hamdy,Abdelwahab,Heavyweight Division,Active,"Cairo, Egypt",Wrestler,,"Jul. 30, 2022"
5,Ricardo,Abreu,Middleweight Division,Retired,"Dourados, Brazil",,"Kings MMA - Huntington Beach, CA","May. 31, 2014"
6,Klidson,Abreu,Light Heavyweight Division,Not Fighting,"Manaus, Brazil",Brazilian Jiu-Jitsu,,"Feb. 23, 2019"
7,Shamil,Abdurakhimov,Heavyweight Division,Active,"Dagestan Republic, Russia",Grappler,,"Apr. 04, 2015"
