ID,Sig. Strikes Landed,Sig. Strikes Attempted,Sig. Strikes Landed Per Min,Sig. Strikes Absorbed Per Min,Sig. Strike Defense,Knockdown Average,Sig. Strikes Standing,Sig. Strikes Clinch,Sig. Strikes Ground,Sig. Strikes Head,Sig. Strikes Body,Sig. Strikes Leg,Takedowns Landed,Takedowns Attempted,Takedown Average,Takedown Defense,Submission Average,KO/TKO,DEC,SUB,Reach,Leg Reach,Age,Height,Average Fight Time,Number_of_Fights,Wins
1,250,566,2.60,2.80,58,0.31,168,60,22,148,47,55,5,30,1.09,47,0.16,9,7,4,76.00,41.50,41,75.00,9.616666666666667,10,5
2,96,236,2.05,2.90,56,0.00,86,10,0,38,20,38,2,10,0.64,80,0.00,4,1,10,74.00,40.00,29,74.00,11.716666666666667,4,1
3,58,110,3.87,3.13,59,1.00,30,2,26,51,5,2,3,4,3.00,,0.00,5,0,0,72.00,41.00,29,74.00,15.0,1,1
4,97,176,2.80,3.15,49,0.00,36,34,27,42,46,9,8,14,3.47,50,1.30,5,2,2,74.00,,43,71.00,8.65,4,1
6,80,252,3.79,3.98,68,1.42,58,13,9,65,10,5,3,7,2.13,100,0.71,3,0,2,73.00,,37,71.00,10.55,1,1
7,171,508,3.80,4.49,57,0.33,146,11,14,102,12,57,1,2,0.33,,0.00,4,2,0,71.50,42.00,30,69.00,15.0,3,1
